matricule,nom,prenom,genre,classe,niveau,flux
"EL0001","FOFANA","Awa","F","6e-1","6e","Matin"
"EL0002","DIABATÉ","Yao","M","6e-1","6e","Matin"
"EL0003","ADJÉ","Jean","M","6e-1","6e","Matin"
"EL0004","ASSI","Sylvie","F","6e-1","6e","Matin"
"EL0005","DIABATÉ","Prisca","F","6e-1","6e","Matin"
"EL0006","OUATTARA","Carine","F","6e-1","6e","Matin"
"EL0007","OUATTARA","Moussa","M","6e-1","6e","Matin"
"EL0008","KONÉ","Carine","F","6e-1","6e","Matin"
"EL0009","GUÉI","Sylvie","F","6e-1","6e","Matin"
"EL0010","ADJÉ","Joëlle","F","6e-1","6e","Matin"
"EL0011","COULIBALY","Fatou","F","6e-1","6e","Matin"
"EL0012","KOUAMÉ","Mireille","F","6e-1","6e","Matin"
"EL0013","BAMBA","Arnaud","M","6e-1","6e","Matin"
"EL0014","BROU","Adama","M","6e-1","6e","Matin"
"EL0015","YAO","Hélène","F","6e-1","6e","Matin"
"EL0016","KOUAMÉ","Prisca","F","6e-1","6e","Matin"
"EL0017","ABLÉ","Franck","M","6e-1","6e","Matin"
"EL0018","OUATTARA","Serge","M","6e-1","6e","Matin"
"EL0019","ADJÉ","Aboubacar","M","6e-1","6e","Matin"
"EL0020","CISSÉ","Jean","M","6e-1","6e","Matin"
"EL0021","BROU","Guy","M","6e-1","6e","Matin"
"EL0022","N'GUESSAN","Cédric","M","6e-1","6e","Matin"
"EL0023","DJÉ","Affoué","F","6e-1","6e","Matin"
"EL0024","ASSI","Adama","M","6e-1","6e","Matin"
"EL0025","KONÉ","Yao","M","6e-1","6e","Matin"
"EL0026","CISSÉ","Ibrahim","M","6e-1","6e","Matin"
"EL0027","ZADI","Roland","M","6e-1","6e","Matin"
"EL0028","ADJÉ","Marc","M","6e-1","6e","Matin"
"EL0029","BAKAYOKO","Estelle","F","6e-1","6e","Matin"
"EL0030","KOUASSI","Carine","F","6e-1","6e","Matin"
"EL0031","TOURÉ","Léa","F","6e-1","6e","Matin"
"EL0032","BAKAYOKO","Thierry","M","6e-1","6e","Matin"
"EL0033","TANOH","Fatou","F","6e-1","6e","Matin"
"EL0034","DOUMBIA","Cédric","M","6e-1","6e","Matin"
"EL0035","ADJÉ","Daniel","M","6e-1","6e","Matin"
"EL0036","TRAORÉ","Daniel","M","6e-1","6e","Matin"
"EL0037","TRAORÉ","Grace","F","6e-1","6e","Matin"
"EL0038","ZADI","Roland","M","6e-1","6e","Matin"
"EL0039","ABLÉ","Hélène","F","6e-1","6e","Matin"
